服务,类型,名称,所属子资源名称,operationID1,operationID2,operationID3,operationID4,operationID5,operationID6
AOM,Actions,AddAlarmRule,aom-alarm,AddOrUpdateMetricOrEventAlarmRuleRequest,BuildAddRequest,,,,
AOM,Filters,AlarmRuleFilter,aom-alarm,,,,,,
AOM,Actions,DeleteAlarmRule,aom-alarm,DeleteMetricOrEventAlarmRuleRequest,,,,,
AOM,Actions,UpdateAlarmRule,aom-alarm,AddOrUpdateMetricOrEventAlarmRuleRequest,BuildUpdateRequest,,,,
AOM,Resources,aom-alarm,aom-alarm,ListMetricOrEventAlarmRuleRequest,,,,,
APIG,Actions,DeleteApiAction,apig-api,DeleteApiV2Request,,,,,
APIG,Actions,DeleteStageAction,apig-stage,DeleteEnvironmentV2Request,,,,,
APIG,Actions,UpdateApiAction,apig-api,UpdateApiV2Request,,,,,
APIG,Actions,UpdateDomainSecurityAction,apig-api-groups,UpdateDomainV2Request,,,,,
APIG,Actions,UpdateStageAction,apig-stage,UpdateEnvironmentV2Request,,,,,
APIG,Resources,apig-api,apig-api,ListInstancesV2Request,ListApisV2Request,,,,
APIG,Resources,apig-api-groups,apig-api-groups,ListInstancesV2Request,ListApiGroupsV2Request,,,,
APIG,Resources,apig-stage,apig-stage,ListInstancesV2Request,ListEnvironmentsV2Request,,,,
AUTOTAG,Actions,AutoTagUser,,,,,,,
AntiDDoS,Actions,EipEnableAntiDDoS,antiddos-eip,UpdateDDosRequest,,,,,
AntiDDoS,Resources,antiddos-eip,antiddos-eip,ListDDosStatusRequest,,,,,
BASE,Actions,HuaweiCloudBaseAction,,,,,,,
BMS,Actions,BmsFetchJobStatus,bms,ShowJobInfosRequest,,,,,
BMS,Filters,BmsImageAgeFilter,bms,,,,,,
BMS,Filters,BmsInstanceAgeFilter,bms,,,,,,
BMS,Filters,BmsInstanceAttributeFilter,bms,,,,,,
BMS,Filters,BmsInstanceEphemeralFilter,bms,,,,,,
BMS,Filters,BmsInstanceEvs,bms,ShowBaremetalServerVolumeInfoRequest,,,,,
BMS,Filters,BmsInstanceImageFilter,bms,,,,,,
BMS,Filters,BmsInstanceUptimeFilter,bms,,,,,,
BMS,Filters,BmsInstanceUserData,bms,ListBareMetalServerDetailsRequest,,,,,
BMS,Filters,BmsInstanceVpc,bms,,,,,,
BMS,Actions,BmsReboot,bms,BatchRebootBaremetalServersRequest,InitRequest,,,,
BMS,Actions,BmsSetInstanceProfile,bms,UpdateBaremetalServerMetadataRequest,,,,,
BMS,Actions,BmsStart,bms,BatchStartBaremetalServersRequest,InitRequest,,,,
BMS,Actions,BmsStop,bms,BatchStopBaremetalServersRequest,InitRequest,,,,
BMS,Resources,bms,bms,ListBareMetalServersRequest,,,,,
CBR_BACKUP,Actions,CbrDeleteBackup,cbr-backup,DeleteBackupRequest,,,,,
CBR_BACKUP,Resources,cbr-backup,cbr-backup,ListBackupsRequest,,,,,
CBR_PROTECTABLE,Actions,CbrAssociateServerVault,cbr-protectable,ListVaultRequest,ListPoliciesRequest,AddVaultResourceRequest,CreateVaultRequest,,
CBR_PROTECTABLE,Resources,cbr-protectable,cbr-protectable,ListProtectableRequest,,,,,
CBR_VAULT,Actions,CbrAssociateVaultPolicy,cbr-vault,AssociateVaultPolicyRequest,CreatePolicyRequest,,,,
CBR_VAULT,Actions,CbrVaultAddTags,cbr-vault,BatchCreateAndDeleteVaultTagsRequest,,,,,
CBR_VAULT,Actions,CbrVaultEnableWorm,cbr-vault,UpdateVaultRequest,,,,,
CBR_VAULT,Filters,CbrVaultUnassociatedFilter,cbr-vault,ListPoliciesRequest,,,,,
CBR_VAULT,Filters,CbrVaultUnassociatedReplicationFilter,cbr-vault,ListPoliciesRequest,,,,,
CBR_VAULT,Filters,CbrVaultWithoutSpecificTagsFilter,cbr-vault,,,,,,
CBR_VAULT,Filters,CbrVaultWithoutWormFilter,cbr-vault,,,,,,
CBR_VAULT,Resources,cbr-vault,cbr-vault,ListVaultRequest,,,,,
CC,Actions,CloudConnectionDelete,cc-cloud-connection,DeleteCloudConnectionRequest,,,,,
CC,Resources,cc-cloud-connection,cc-cloud-connection,ListCloudConnectionsRequest,,,,,
CCM,Filters,CertificateAuthorityCrlObsBucketFilter,ccm-private-ca,getBucketPublicAccessBlock,,,,,
CCM,Filters,CertificateAuthorityIssuerNameFilter,ccm-private-ca,,,,,,
CCM,Filters,CertificateAuthorityKeyAlgorithmFilter,ccm-private-ca,,,,,,
CCM,Filters,CertificateAuthorityObsBucketPolicyFilter,ccm-private-ca,getBucketPolicy,,,,,
CCM,Filters,CertificateAuthoritySignatureAlgorithmFilter,ccm-private-ca,,,,,,
CCM,Filters,CertificateAuthorityStatusFilter,ccm-private-ca,,,,,,
CCM,Actions,DisableCertificateAuthority,ccm-private-ca,DisableCertificateAuthorityRequest,,,,,
CCM,Filters,PrivateCertificateCreateTimeFilter,ccm-private-certificate,,,,,,
CCM,Filters,PrivateCertificateKeyAlgorithmFilter,ccm-private-certificate,,,,,,
CCM,Filters,PrivateCertificateSignatureAlgorithmFilter,ccm-private-certificate,,,,,,
CCM,Resources,ccm-private-ca,ccm-private-ca,ListCertificateAuthorityRequest ,ListCaTagsRequest,,,,
CCM,Resources,ccm-private-certificate,ccm-private-certificate,ListCertificateRequest ,ListCertTagsRequest,,,,
CDN,Actions,DeleteCdnDomain,cdn-domain,DeleteDomainRequest,,,,,
CDN,Actions,DisableCdnDomain,cdn-domain,DisableDomainRequest,,,,,
CDN,Actions,EnableCdnDomain,cdn-domain,EnableDomainRequest,,,,,
CDN,Filters,UpdateCdnDomainConfig,cdn-domain,UpdateDomainFullConfigRequest,,,,,
CDN,Resources,cdn-domain,cdn-domain,ListDomainsRequest,,,,,
CES,Actions,AlarmUpdateNotification,ces-alarm,ListTopicsRequest,UpdateAlarmNotificationsRequest,,,,
CES,Actions,BatchStartStoppedAlarmRules,ces-alarm,BatchEnableAlarmRulesRequest,,,,,
CES,Actions,CreateKmsEventAlarmRule,ces-alarm,CreateAlarmRulesRequest,,,,,
CES,Actions,CreateObsEventAlarmRule,ces-alarm,CreateAlarmRulesRequest,,,,,
CES,Actions,CreateVpcEventAlarmRule,ces-alarm,CreateAlarmRulesRequest,,,,,
CES,Actions,NotifyBySMN,ces-alarm,PublishMessageRequest,,,,,
CES,Filters,AlarmNameSpaceAndMetricFilter,,,,,,,
CES,Filters,AlarmNotificationFilter,,,,,,,
CES,Filters,AlarmUpdateNotification,ces-alarm,ListTopicsRequest,UpdateAlarmNotificationsRequest,,,,
CES,Resources,ces-alarm,ces-alarm,ListAlarmRulesRequest,,,,,
COC,Actions,NonCompliantAlarm,coc,PublishMessageRequest,,,,,
COC,Resources,coc,coc,ListInstanceCompliantRequest,,,,,
CONFIG,Actions,CreateTrackerAction,config-tracker,CreateTrackerConfigRequest,,,,,
CONFIG,Actions,DeleteTrackerAction,config-tracker,DeleteTrackerConfigRequest,,,,,
CONFIG,Actions,delete-tracker,config-tracker,DeleteTrackerConfigRequest,,,,,
CONFIG,Filters,ConfigCompliance,,ListPolicyAssignmentsRequest,ListPolicyStatesByAssignmentIdRequest,,,,
CONFIG,Filters,ConfigRetentionConfigurations,config-tracker,,,,,,
CONFIG,Resources,config-tracker,config-tracker,ShowTrackerConfigRequest,,,,,
CTS-NOTIFICATION-FUNC,Actions,CtsUpdateNotification,cts-notification-func,UpdateNotificationRequest,,,,,
CTS-NOTIFICATION-FUNC,Resources,cts-notification-func,cts-notification-func,ListNotificationsRequest,,,,,
CTS-NOTIFICATION-SMN,Actions,CtsUpdateNotification,cts-notification-smn,UpdateNotificationRequest,,,,,
CTS-NOTIFICATION-SMN,Resources,cts-notification-smn,cts-notification-smn,ListNotificationsRequest,,,,,
CTS-TRACKER,Filters,CtsDeleteTracker,cts-tracker,DeleteTrackerRequest,,,,,
CTS-TRACKER,Filters,CtsSetTraceFileValidation,cts-tracker,UpdateTrackerRequest,,,,,
CTS-TRACKER,Filters,CtsToggleTracker,cts-tracker,UpdateTrackerRequest,,,,,
CTS-TRACKER,Resources,cts-tracker,cts-tracker,ListTrackersRequest,,,,,
DC,Filters,DCAgeFilter,dc,,,,,,
DC,Filters,VifNotBgpMd5Filter,dc-vif,,,,,,
DC,Resources,dc,dc,ListDirectConnectsRequest,,,,,
DC,Resources,dc-vif,dc-vif,ListVirtualInterfacesRequest,,,,,
DEH,Actions,UpdateDedicatedHost,deh,UpdateDedicatedHostRequest,,,,,
DEH,Resources,deh,deh,ListDedicatedHostsRequest,,,,,
ECS,Actions,AddSecurityGroup,ecs,NovaAssociateSecurityGroupRequest,,,,,
ECS,Actions,DeleteSecurityGroup,ecs,NovaDisassociateSecurityGroupRequest,,,,,
ECS,Filters,EcsInstanceAgeFilter,ecs,,,,,,
ECS,Filters,EcsInstanceUptimeFilter,ecs,,,,,,
ECS,Actions,EcsReboot,ecs,BatchRebootServersRequest,InitRequest,,,,
ECS,Actions,EcsStart,ecs,BatchStartServersRequest,InitRequest,,,,
ECS,Actions,EcsStop,ecs,BatchStopServersRequest,InitRequest,,,,
ECS,Actions,EcsTerminate,ecs,DeleteServersRequest,,,,,
ECS,Actions,FetchJobStatus,ecs,ShowJobRequest,,,,,
ECS,Filters,ImageAgeFilter,ecs,,,,,,
ECS,Actions,InstancUpdateMetadataOptions,ecs,UpdateServerMetadataOptionsRequest,,,,,
ECS,Filters,InstanceAttributeFilter,ecs,,,,,,
ECS,Actions,InstanceDeleteMetadataKey,ecs,DeleteServerMetadataRequest,,,,,
ECS,Filters,InstanceEphemeralFilter,ecs,NovaShowFlavorExtraSpecsRequest,,,,,
ECS,Filters,InstanceEvs,ecs,,,,,,
ECS,Filters,InstanceImageFilter,ecs,,,,,,
ECS,Filters,InstanceImageNotCompliance,ecs,getObject,,,,,
ECS,Filters,InstanceMetadataOptionsToken,ecs,ShowServerMetadataOptionsRequest,,,,,
ECS,Actions,InstanceSnapshot,ecs,ShowVaultRequest,AddVaultResourceRequest,,,,
ECS,Filters,InstanceTag,ecs,,,,,,
ECS,Filters,InstanceUserData,ecs,ShowServerRequest,,,,,
ECS,Actions,InstanceVolumesCorrections,ecs,UpdateServerBlockDeviceRequest,,,,,
ECS,Filters,InstanceVolumesNotCompliance,ecs,,,,,,
ECS,Filters,InstanceVpc,ecs,,,,,,
ECS,Actions,InstanceWholeImage,ecs,CreateWholeImageRequest,ShowJobProgressRequest,,,,
ECS,Actions,Resize,ecs,ResizeServerRequest,,,,,
ECS,Actions,SetInstanceProfile,ecs,UpdateServerMetadataRequest,,,,,
ECS,Resources,ecs,ecs,ListServersDetailsRequest,,,,,
EG,Resources,eg-subscription,eg-subscription,ShowResourceTagRequest,ListSubscriptionsRequest,,,,
EIP,Filters,AssociateInstanceTypeFilter,eip,,,,,,
EIP,Actions,EIPDelete,eip,DisassociatePublicipsRequest,DeletePublicipRequest,,,,
EIP,Actions,EIPDisassociate,eip,DisassociatePublicipsRequest,,,,,
EIP,Filters,eip,eip,ListPublicipsRequest,,,,,
ELB,Actions,ListenerDeleteAction,,DeletePoolCascadeRequest,DeleteListenerRequest,,,,
ELB,Actions,ListenerRedirectAction,,ListListenersRequest,CreateL7PolicyRequest,,,,
ELB,Actions,ListenerSetAclIpgroupAction,,ListIpGroupsRequest,UpdateListenerRequest,,,,
ELB,Actions,LoadbalancerDeleteAction,,DeleteLoadBalancerRequest,,,,,
ELB,Actions,LoadbalancerEnableLoggingAction,,ListLogGroupsRequest,ListLogStreamRequest,,,,
ELB,Actions,LoadbalancerUnbindPublicipsAction,,UpdateLoadBalancerRequest,DisassociatePublicipsRequest,,,,
ELB,Filters,ELBAgeFilter,,,,,,,
ELB,Filters,ELBAttributesFilter,,,,,,,
ELB,Filters,ListenerRedirectListenerFilter,,ListL7PoliciesRequest,ShowListenerRequest,,,,
ELB,Filters,LoadbalancerBackendServerCountFilter,,ListAllMembersRequest,,,,,
ELB,Filters,LoadbalancerIsLTSLogTransferFilter,,ListTransfersRequest,,,,,
ELB,Filters,LoadbalancerIsLoggingFilter,,,,,,,
ELB,Filters,LoadbalancerIsNotLTSLogTransferFilter,,,,,,,
ELB,Filters,LoadbalancerIsNotLoggingFilter,,,,,,,
ELB,Filters,LoadbalancerPublicipCountFilter,,,,,,,
ELB,Resources,elb-listener,elb-listener,ListListenersRequest,,,,,
ELB,Resources,elb-loadbalancer,elb-loadbalancer,ListLoadBalancersRequest,,,,,
ER,Actions,EnterpriseRouterCreate,er,UpdateEnterpriseRouterRequest,,,,,
ER,Resources,er,er,ListEnterpriseRoutersRequest,,,,,
EVS,Actions,CreateBackup,evs-volume,CreateCheckpointRequest,,,,,
EVS,Actions,CreateSnapshot,evs-volume,CreateSnapshotRequest,,,,,
EVS,Filters,EncryptInstanceDataVolumes,evs-volume,ShowServerRequest,DetachServerVolumeRequest,,,,
EVS,Filters,LastBackupCreateExceedSafeTimeVolumes,evs-volume,ListBackupsRequest,,,,,
EVS,Filters,NotProtectedByBackupVolumes,evs-volume,,,,,,
EVS,Filters,VolumeAge,evs-volume,,,,,,
EVS,Filters,VolumeAssociateToVault,evs-volume,AddVaultResourceRequest,,,,,
EVS,Filters,VolumeAssociateToVaultPolicy,evs-volume,AssociateVaultPolicyRequest,,,,,
EVS,Actions,VolumeDelete,evs-volume,DeleteVolumeRequest,,,,,
EVS,Actions,VolumeDetach,evs-volume,DetachServerVolumeRequest,,,,,
EVS,Actions,VolumeExtend,evs-volume,ResizeVolumeRequest,,,,,
EVS,Filters,last-backup-exceed-safe-time-interval,evs-volume,ListBackupsRequest,,,,,
EVS,Resources,evs-volume,evs-volume,ListVolumesRequest,,,,,
EXEMPTED,Filters,ExemptedFilter,,getObject,,,,,
EXEMPTED,Filters,RestrictedFilter,,getObject,,,,,
FunctionGraph,Actions,ModifySecurityGroups,functiongraph,ShowFunctionConfigRequest,,,,,
FunctionGraph,Actions,ShowFunctionConfig,functiongraph,ShowFunctionConfigRequest,,,,,
FunctionGraph,Actions,DeleteFunction,functiongraph,DeleteFunctionRequest,,,,,
FunctionGraph,Filters,FunctionTrigger,functiongraph,ListFunctionTriggersRequest,,,,,
FunctionGraph,Actions,InvokeFunction,functiongraph,AsyncInvokeFunctionRequest,InvokeFunctionRequest,,,,
FunctionGraph,Filters,ReservedConcurrency,functiongraph,ListReservedInstanceConfigsRequest,,,,,
FunctionGraph,Actions,TrimVersions,functiongraph,ListFunctionVersionsRequest,ListVersionAliasesRequest,,,,
FunctionGraph,Actions,UpdateFunctionConfig,functiongraph,UpdateFunctionConfigRequest,ShowFunctionConfigRequest,,,,
FunctionGraph,Actions,UpdateFunctionMaxInstanceConfig,functiongraph,UpdateFunctionMaxInstanceConfigRequest,,,,,
FunctionGraph,Resources,functiongraph,functiongraph,ShowFunctionConfigRequest,ListFunctionsRequest,,,,
HSS,Actions,SetWtpProtectionStatusAction,hss,SetWtpProtectionStatusInfoRequest,,,,,
HSS,Actions,SwitchHostsProtectStatusAction,hss,SwitchHostsProtectStatusRequest,,,,,
